"","Gilchrist","SE_MI","SE_WI","Sturgeon","WR_MI","WR_WI"
"Ssa85",0.84,0,0.006,0.416,0.369,0.737
"Ssa197",0.742,0.672,0.232,0.723,1,0.438
"Oneu9",0.258,0.885,0.404,0.604,0.422,0.238
"Ogo2",0.078,0.621,0.467,0.932,0.476,0.097
"Sfo1",0.083,0.877,0.004,0.437,0.436,0.386
"Omy301",0.133,0.387,0.814,0.059,0.058,0.005
"Str15",0.356,0.044,0.931,0.943,0.378,0.151
"Str60",0.553,0.762,0.619,0.402,1,0.179
"Str73",0.454,0.24,0.506,0.082,0.654,0.741
"SsoSL417",0.22,0.688,0.103,0.596,0.045,0.737
"SsoSL438",0.155,0.758,0.57,0.108,0.449,0.131
