"","Locus","Expected","Observed","% difference"
"1","Ogo2",0.710035888534434,0.688356164383562,3.05332793749639
"2","Omy301",0.859721927047796,0.752508361204013,12.4707259953161
"3","Oneu9",0.673737431772479,0.572881355932203,14.9696411515896
"4","Sfo1",0.877601234178641,0.781879194630873,10.9072362047617
"5","Ssa197",0.716391841424878,0.6,16.2469523931734
"6","Ssa85",0.708733683068422,0.638795986622074,9.86797976689315
"7","SsoSL417",0.861663394813733,0.739864864864865,14.1352795862005
"8","SsoSL438",0.771885272096421,0.733108108108108,5.02369528090552
"9","Str15",0.712625526401037,0.578231292517007,18.8590260810273
"10","Str60",0.499821031084663,0.488294314381271,2.306168805738
"11","Str73",0.597869831876566,0.585858585858586,2.00900687366674
